osm_type,osm_id,wd_id,geohash
n,415522659,Q519154,6uvxhgpts06
n,415522664,Q1805278,6udt4d7rdr8
n,415522665,Q1806605,6ue5q8rz37v
n,415522671,Q963195,6ug4r166fgb
n,415522673,Q1761543,6ugpt19u900
n,415522676,Q991089,6uemr810scg
n,415522680,Q942064,6ugfc31c67q
n,415522681,Q986268,6usp5cu1276
n,415522683,Q342682,6uujj9nj58m
n,415522685,Q1795206,6uu48tebkup
n,415522690,Q986512,6v5gumx2n34
n,415522694,Q2081481,6v1ut2ey1bp
n,415522702,Q1025769,6v54s9zecr8
n,415522705,Q675142,6v5dkz0cmmp
n,415522711,Q1649682,6ukq74ekqht
n,415522716,Q1008345,6vh4j8rvbdq
n,415522719,Q891725,6uu8k5ses7x
n,415522733,Q985972,6vh2rgyck06
n,415522740,Q509804,6uuu6f8msw0
n,415522746,Q815101,6uvpqnfdxy5
n,415522748,Q985960,6uvjsd6bkfk
n,415522750,Q1025767,6uv54edptkm
n,415522752,Q546484,6vh6r5qmb32
n,415522758,Q985981,6uvg0jukd8b
n,415522770,Q527149,6vhsfes3e2c
n,415522773,Q986245,6vhfcte1gvf
n,415522774,Q281011,6vhf5k1rqu7
n,415522775,Q955680,6vjs80jequ1
n,415522790,Q35135,6uvbsupwx74
n,415522797,Q1815539,6uzb6mgvmsp
n,415522798,Q1756358,7hbj31eud9v
n,415522805,Q956017,6vjgsc5u5r7
n,415522807,Q1012541,6vn0se91teq
n,415522808,Q988896,6vjukvpfk0k
n,415522814,Q804041,7hdbfxe7wqn
n,415522816,Q2039418,7h7ns4tqrm4
n,415522817,Q933380,7he0g92v2yy
n,415522819,Q1794183,7hdvm3rsh2u
n,415522823,Q1794439,7hdzqz6yy3c
n,415522826,Q549543,7hexfu842g3
n,415522830,Q1795733,7hgq66cjrv3
n,415522831,Q1794359,7hgmhtwgumt
n,415522835,Q1998957,7hewrbb782z
n,415522836,Q985956,7hu54krm79q
n,415522838,Q1807887,7huj7knbkkg
n,415522839,Q1800783,7huhk43cq5r
n,415522841,Q979377,7j55fpd54z5
n,415522842,Q1798824,7j5cewxz7rp
n,415522843,Q1798829,7j59wv8mpcr
n,415522845,Q993466,7jh5rup9hf0
n,415522846,Q1796277,7j5fg7tbg30
n,415522848,Q1792999,6snudcfrw9j
n,415522850,Q522494,6gb84dqn3nj
n,415522851,Q1806310,6gbe87mpsfb
n,415522852,Q453479,6gbsx1rbdcv
n,415522855,Q431778,6gc1q67gscm
n,415522856,Q1148023,6spf1x6z7pe
n,415522857,Q1806317,6gbmqjvgbth
n,415522859,Q928094,6gbrggsmzzu
n,415522860,Q768535,6spzfd1167q
n,415522861,Q927504,6u0jf39w7bb
n,415522863,Q1805437,6u0r9eg4c74
n,415522867,Q1792127,6u0v09vn3d3
n,415522869,Q1805835,6u276phhky5
n,415522871,Q1792185,6u2bvju8sme
n,415522872,Q597397,6u10xw0c36j
n,415522879,Q1805582,6u4srnertx0
n,415522883,Q2105955,6gf2uzmnetv
n,415522884,Q1805388,6gc8jw5w3gm
n,415522894,Q593948,6gf0ffq61c4
n,415522895,Q2003794,6gf28q6bmkv
n,415522896,Q2003784,6gf1tm0qz4w
n,415522903,Q956038,6gf8y9172q2
n,415522906,Q1803580,6gf96u6q8ug
n,415522920,Q1773355,6gfswnne9hx
n,415522926,Q2011871,6u19p5z31br
n,415522928,Q1804157,6gfjwck4g5c
n,415522932,Q746291,6u416jcjkj9
n,415522933,Q1796657,6u415ug4b96
n,415522951,Q936233,6gfuh5v5upj
n,415522960,Q2005187,6gffx9ejdst
n,415522961,Q675706,6gfgnt83hdx
n,415522962,Q208669,6gg4dpecbj3
n,415522964,Q1779910,6gg38z8vb86
n,415522973,Q1803633,6gg60jbetff
n,415522975,Q2007427,6gg7b64yjn9
n,415522978,Q2351325,6gg4es1h15y
n,415522979,Q1003473,6gg4mm5qyet
