@type,@id,wikidata,"name"
node,273316,Q842713,"Itajaí"
node,26508322,Q330208,"Vitória da Conquista"
node,30674098,Q174,"São Paulo"
node,30674207,Q841231,"Taboão da Serra"
node,30674208,Q184403,"São Bernardo do Campo"
node,30674213,Q967648,"São Caetano do Sul"
node,32070447,Q171617,"Campinas"
node,32070449,Q4035,"Osasco"
node,32070450,Q330175,"Piracicaba"
node,32070451,Q275109,"Jundiaí"
node,32070452,Q467421,"Americana"
node,32070453,Q942135,"Sumaré"
node,32070454,Q952617,"Hortolândia"
node,32070455,Q841241,"Limeira"
node,32552966,Q957653,"Itu"
node,32552967,Q188901,"Sorocaba"
node,32553121,Q81882,"Santos"
node,32870515,Q912136,"Peruíbe"
node,33571256,Q291277,"Rio Claro"
node,33571260,Q580366,"Araras"
node,34034926,Q330202,"Itaquaquecetuba"
node,34034927,Q737670,"Suzano"
node,34034929,Q271374,"Guarujá"
node,34034959,Q461773,"Barueri"
node,34034968,Q651860,"Embu das Artes"
node,34034969,Q851292,"Praia Grande"
node,34034972,Q955510,"Itapevi"
node,34034974,Q669305,"Cotia"
node,34567423,Q2844,"Brasília"
node,34582421,Q210722,"Pão de Açúcar"
node,34582422,Q8678,"Rio de Janeiro"
node,34593849,Q36947,"Salvador"
node,60678823,Q686304,"Itambé"
node,60678824,Q921827,"Itapetinga"
node,90200226,Q132997,"Florianópolis"
node,98690012,Q655363,"Jacareí"
node,98690015,Q542829,"Angra dos Reis"
node,98690016,Q974642,"Pindamonhangaba"
node,98690024,Q983498,"Caraguatatuba"
node,98690039,Q945061,"Ilhabela"
node,142913585,Q2066357,"Pedra da Gávea"
node,144930880,Q110017,"Caxias do Sul"
node,144932200,Q535531,"Farroupilha"
node,144932584,Q1757597,"Flores da Cunha"
node,144946166,Q548652,"Bento Gonçalves"
node,144970241,Q194325,"Canoas"
node,145010937,Q1758146,"Nova Prata"
node,146387090,Q18476313,"Morro dos Cabritos"
node,146396109,Q6914185,"Morro da Babilônia"
node,146396315,Q22030730,"Morro da Urca"
node,147428014,Q10332393,"Morro Dona Marta"
node,148194314,Q22048649,"Pedra Bonita"
node,148282099,Q22069159,"Morro da Moganga"
node,148282827,Q22069142,"Pico dos Quatro"
node,148623044,Q22066449,"Pontal de Sernambetiba"
node,148742968,Q926729,"Paraty"
node,149403428,Q22031111,"Morro da Viúva"
node,155590820,Q28441,"São Luís"
node,162021038,Q841218,"Magé"
node,162424448,Q22033490,"Pico da Tijuca"
node,162427761,Q10349593,"Perdido do Andaraí"
node,162577457,Q1761565,"Guapimirim"
node,164890246,Q1787049,"Tanguá"
node,164890762,Q1802187,"Rio Bonito"
node,164896502,Q841244,"Itaboraí"
node,164932516,Q83114,"São Gonçalo"
node,165688241,Q9184527,"Cardeal Arcoverde"
node,173453728,Q178725,"Niterói"
node,180337351,Q9268822,"Glória"
node,195594311,Q40236,"Manaus"
node,206136859,Q4361,"Curitiba"
node,206147977,Q656597,"Encontro das Águas"
node,210731106,Q131620,"Natal"
node,210738427,Q43463,"Fortaleza"
node,240050035,Q109188,"Pelotas"
node,243072564,Q9300168,"Tatuapé"
node,243191705,Q622823,"Uruguaiana"
node,243198608,Q168376,"Vitória"
node,243850404,Q83189,"Goiânia"
node,243850406,Q170578,"Aracaju"
node,243850911,Q168888,"Maceió"
node,245560132,Q1439179,"Serra Negra"
node,245560133,Q985507,"Morungaba"
node,245560134,Q983511,"Valinhos"
node,245560135,Q983534,"Vinhedo"
node,245560137,Q930321,"Amparo"
node,245560138,Q1795673,"Louveira"
node,245560618,Q639848,"Jarinu"
node,245560619,Q1637405,"Atibaia"
node,245561169,Q1760585,"Nazaré Paulista"
node,245954836,Q616650,"Indaiatuba"
node,245954840,Q734333,"Itupeva"
node,246126554,Q10275746,"Estácio"
node,246670500,Q1756328,"Ituiutaba"
node,246670506,Q1805400,"São João Evangelista"
node,246670510,Q1790238,"Montalvânia"
