osm_type,osm_id,wd_member_ids
n,2869489478,
n,4066569746,
n,4066577745,
n,4066577746,
n,4066569747,
n,4066577747,
n,4066577748,
n,2869489479,
n,4066569748,
n,4066569749,
r,2730906,
r,2730910,
r,3308953,
r,3352834,
r,3355358,
r,4032064,
r,4049713,
r,4049714,
r,4049721,
r,4049722,
r,4049844,
r,4049846,
r,4049847,
r,4050222,
r,4050227,
r,4050230,
r,4050231,
r,4050232,
r,4050233,
r,4054852,
r,4054855,
r,4055877,
r,4055895,
r,4055896,
r,4055904,
r,4055918,
r,4056897,
r,4056907,
r,4056908,
r,4056909,
r,4510097,
r,4511874,
r,4576817,
r,5465620,
r,6087652,
r,6636196,
r,6636197,
r,6771624,
r,6774703,
r,7095104,
r,420335,
r,7857257,
r,7869373,
r,7875374,
r,7886190,
r,420605,
r,7886191,
r,7889061,
r,8366508,
r,2557150,
r,2557151,
r,2567011,
w,500492960,
w,500492959,
w,500492958,
w,500492956,
w,500492955,
w,500492954,
w,500492952,
w,500492951,
w,500492950,
w,500492947,
w,500492946,
w,500492944,
w,500492942,
w,500492937,
w,500492936,
w,500492934,
w,500492933,
w,500492932,
w,500492929,
w,500492928,
w,500492927,
w,500492926,
w,500492924,
w,500492923,
w,500492919,
w,500279728,
w,500239529,
w,500001407,
w,500001405,
w,500001175,
w,499986947,
w,499763283,
w,499763282,
w,499763280,
w,499763279,
w,499749990,
w,499749989,
w,499749988,
w,499749987,
w,499749986,
w,499749981,
w,499749978,
w,499749977,
w,499749975,
w,499749974,
w,499749973,
w,499749971,
w,499749969,
w,499749968,
w,499749966,
w,499749964,
w,499749963,
w,499749957,
w,499730869,
w,499724239,
w,499684123,
w,499639583,
w,499639582,
w,499630916,
w,499577629,
w,499577621,
w,499577605,
w,499563633,
w,499559252,
w,499427458,
w,499427451,
w,499427444,
w,499427441,
w,499427418,
w,499427417,
w,499427416,
w,499427415,
w,499427414,
w,499427413,
w,499427407,
w,499427405,
w,499427404,
w,499404497,
w,499403277,
w,499403276,
w,499403275,
w,499403274,
w,499403272,
w,499403271,
w,499403270,
w,499403268,
w,499403267,
w,499403265,
w,499403264,
w,499403005,
w,499396584,
w,499394709,
w,499394708,
w,499394707,
w,499343590,
w,499343589,
w,499343585,
w,499343583,
w,499213004,
w,499213002,
w,499212987,
w,499212985,
w,499212970,
w,499212969,
w,499212968,
w,499212967,
w,499212964,
w,499212963,
w,499212962,
w,499212961,
w,499204499,
w,499195836,
w,499195835,
w,499195834,
w,499195833,
w,498937765,
w,498937755,
w,498937753,
w,498937750,
w,498937749,
w,498937748,
w,498937747,
w,498937742,
w,498937741,
w,498937740,
w,498937738,
w,498937734,
w,498937731,
w,498937730,
w,498937728,
w,498937727,
w,498937726,
w,498937725,
w,498937723,
w,498937722,
w,498937720,
w,498937719,
w,498937718,
w,498937717,
w,498695004,
w,498695003,
w,498695001,
w,498694997,
w,498694996,
w,498694991,
w,498694983,
w,498653469,
w,498653467,
w,498597821,
w,498597820,
w,498597819,
w,498594757,
w,498594756,
w,498594755,
w,498594754,
w,498591892,
w,498574716,
w,498574714,
w,498574705,
w,498574703,
w,498574692,
w,498574691,
w,498574688,
w,498574686,
w,498574685,
w,498574684,
w,498574683,
w,498574681,
w,498574679,
w,498574677,
w,498574674,
w,498574673,
w,498574672,
w,498574671,
w,498574669,
w,498574666,
w,498574664,
w,498574663,
w,498574661,
w,498574656,
w,498574655,
w,498574654,
w,498574646,
w,498448061,
w,498405526,
w,498405512,
w,498405510,
w,498405509,
w,498405504,
w,498405503,
w,498405495,
w,498405492,
w,498405483,
w,498319936,
w,498319928,
w,498319926,
w,498257201,
w,498257200,
w,498257192,
w,498257191,
w,498251179,
w,498251177,
w,498251176,
w,498251171,
w,498112708,
w,498112707,
w,498112703,
w,498112702,
w,498112701,
w,498112695,
w,498112693,
w,498106310,
w,498105904,
w,498105902,
w,498105896,
w,498082679,
w,498082677,
w,498082676,
w,498082675,
w,498082674,
w,498082673,
w,498082672,
w,498082664,
w,498082661,
w,498082657,
w,498082602,
w,498082600,
w,498082594,
w,498082593,
w,498082566,
w,498082553,
w,498082552,
w,498082551,
w,498082550,
w,498082540,
w,498082536,
w,498077976,
w,498063710,
w,498063708,
w,498038343,
w,497968289,
w,497965758,
w,497964918,
w,497964917,
w,497929513,
w,497929502,
w,497929488,
w,497929486,
w,497922115,
w,497907532,
w,497907531,
w,497907528,
w,497894035,
w,497857589,
w,497857588,
w,497857587,
w,497857586,
w,497857585,
w,497857584,
w,497857583,
w,497857581,
w,497857578,
w,497857565,
w,497542676,
w,497540789,
w,497540788,
w,497540769,
w,497528204,
w,497528203,
w,497514304,
w,497514303,
w,497514301,
w,497514299,
w,497514298,
w,497514293,
w,497514292,
w,497514291,
w,497514290,
w,497514289,
w,497514287,
w,497505146,
w,497505144,
w,497505143,
w,497505141,
w,497505131,
w,497505129,
w,497505128,
w,497503612,
w,497503609,
w,497503607,
w,497503605,
w,497503601,
w,497503599,
w,497503598,
w,497503595,
w,497498590,
w,497487491,
w,497487490,
w,497487488,
w,497487487,
w,497487486,
w,497487485,
w,497487482,
w,497487479,
w,497483528,
w,497483527,
w,497483526,
w,497483524,
w,497483521,
w,497483520,
w,497483514,
w,497483513,
w,497483512,
w,497483508,
w,497483507,
w,497483506,
w,497483505,
w,497478274,
w,497478272,
w,497322610,
w,497322605,
w,497322602,
w,497322590,
w,497322587,
w,497319762,
w,497319756,
w,497319754,
w,497319753,
w,497319752,
w,497319750,
w,497319749,
w,497319747,
w,497319746,
w,497317485,
w,497317483,
w,497317482,
w,497317481,
w,497317480,
w,497317478,
w,497317476,
w,497317475,
w,497317474,
w,497317473,
w,497317471,
w,497317469,
w,497286549,
w,497286538,
w,497286537,
w,497286524,
w,497226427,
w,497226426,
w,497226422,
w,497226376,
w,497219147,
w,497065245,
w,497065242,
w,497065241,
w,497065240,
w,497065228,
w,497065227,
w,497065200,
w,497065190,
w,497065189,
