osm_type,osm_id,wd_member_ids
r,2794599,
w,4106272,
w,4126880,
w,4126881,
w,4128570,
w,4132034,
w,4132047,
w,4135275,
w,4136381,
w,4136583,
w,4137338,
w,4137571,
w,4137905,
w,4137933,
w,4137969,
w,4137975,
w,4138207,
w,4138301,
w,4138341,
w,4138371,
w,4138387,
w,4138592,
w,4138934,
w,4139593,
w,4139597,
w,4139604,
w,4139617,
w,4139681,
w,4139743,
w,4139744,
w,4139745,
w,4139772,
w,4139776,
w,4139815,
w,4139818,
w,4139820,
w,4139845,
w,4139846,
w,4139847,
w,4139848,
w,4139850,
w,4139852,
w,4139893,
w,4139987,
w,4140027,
w,4140073,
w,4140075,
w,4140076,
w,4140081,
w,4140083,
w,4140097,
w,4140103,
w,4140107,
w,4140111,
w,4140155,
w,4140156,
w,4140177,
w,4140183,
w,4140185,
w,4140235,
w,4140236,
w,4140239,
w,4140251,
w,4140418,
w,4140473,
w,4140476,
w,4140511,
w,4140512,
w,4140552,
w,4140582,
w,4140584,
w,4140639,
w,4140642,
w,4140644,
w,4140679,
w,4140688,
w,4140707,
w,4140714,
w,4140737,
w,4140799,
w,4140810,
w,4140814,
w,4140824,
w,4140876,
w,4140877,
w,4140878,
w,4140885,
w,4140915,
w,4140918,
w,4140920,
w,4140922,
w,4140924,
w,4140928,
w,4140939,
w,4141013,
w,4141036,
w,4141043,
w,4141077,
w,4141085,
w,4141108,
w,4141143,
w,4141175,
w,4141203,
w,4141236,
w,4141301,
w,4141306,
w,4141389,
w,4141447,
w,4141488,
w,4141511,
w,4141588,
w,4141655,
w,4141793,
w,4141920,
w,4141928,
w,4141986,
w,4141989,
w,4141991,
w,4141993,
w,4141995,
w,4142000,
w,4142002,
w,4142245,
w,4142306,
w,4142353,
w,4142357,
w,4142364,
w,4142369,
w,4142374,
w,4142378,
w,4142379,
w,4142475,
w,4142576,
w,4142577,
w,4142593,
w,4142697,
w,4142757,
w,4142798,
w,4142799,
w,4142879,
w,4142881,
w,4142883,
w,4142885,
w,4142887,
w,4142891,
w,4142892,
w,4142934,
w,4142939,
w,4142941,
w,4142945,
w,4142948,
w,4142950,
w,4142952,
w,4142953,
w,4142961,
w,4143074,
w,4143090,
w,4143121,
w,4143169,
w,4143184,
w,4143186,
w,4143200,
w,4143265,
w,4143410,
w,4143425,
w,4143546,
w,4143558,
w,4143627,
w,4143692,
w,4143725,
w,4143726,
w,4143785,
w,4143787,
w,4143789,
w,4143792,
w,4143799,
w,4143803,
w,4143804,
w,4143810,
w,4143815,
w,4143822,
w,4143830,
w,4143837,
w,4143840,
w,4143846,
w,4143850,
w,4143852,
w,4143853,
w,4143867,
w,4143876,
w,4143892,
w,4143897,
w,4143898,
w,4143902,
w,4143904,
w,4143908,
w,4143968,
w,4143982,
w,4144125,
w,4144152,
w,4144224,
w,4144226,
w,4144245,
w,4144249,
w,4144251,
w,4144253,
w,4144267,
w,4144299,
w,4144300,
w,4144301,
w,4144310,
w,4144314,
w,4144317,
w,4144319,
w,4144320,
w,4144323,
w,4144329,
w,4144360,
w,4144363,
w,4144365,
w,4144366,
w,4144371,
w,4144373,
w,4144374,
w,4144375,
w,4144380,
w,4144383,
w,4144388,
w,4144389,
w,4144393,
w,4144412,
w,4144413,
w,4144415,
w,4144417,
w,4144418,
w,4144421,
w,4144424,
w,4144461,
w,4144464,
w,4144470,
w,4144479,
w,4144483,
w,4144509,
w,4144512,
w,4144527,
w,4144545,
w,4144566,
w,4144567,
w,4144569,
w,4144577,
w,4144579,
w,4144580,
w,4144597,
w,4144602,
w,4144606,
w,4144611,
w,4144629,
w,4144630,
w,4144649,
w,4144653,
w,4144690,
w,4144704,
w,4144706,
w,4144708,
w,4144727,
w,4144734,
w,4144736,
w,4144742,
w,4144743,
w,4144746,
w,4144748,
w,4144772,
w,4144775,
w,4144808,
w,4144820,
w,4144845,
w,4144846,
