wd_id,osm_relid,latlong_wgs84,ibge_id,name
155,59470,Point(-53.0 -11.0),,Brazil
174,298285,Point(-46.633947222 -23.550394444),3550308,São Paulo
175,298204,Point(-49.2075 -21.829722222),,São Paulo
2844,2758138,Point(-47.882777777 -15.793888888),5300108,Brasília
3783,2295651,Point(-73.4472 -4.4403),,Amazon
3783,2295651,Point(-49.9563 -0.5933),,Amazon
3783,2295651,Point(-49.0 -0.166666944),,Amazon
4035,298470,Point(-46.791944444 -23.532777777),3534401,Osasco
4361,297514,Point(-49.271944444 -25.429722222),4106902,Curitiba
4777,,Point(-60.738816666 5.189741666),,Mount Roraima
8678,2697338,Point(-43.196388888 -22.908333333),3304557,Rio de Janeiro
14290,,Point(-67.2806 0.034183333),,Vaupés River
15499,297640,Point(-51.62 -24.67),,Paraná
16460,,Point(-46.33333333 -23.96666667),,Port of Santos
16827,334538,Point(-52.171944444 -16.21),5203401,Bom Jardim de Goiás
17489,,Point(-43.292269 -22.893172),,Estádio Nilton Santos
18278,,Point(-58.3 -34.2),,Uruguay River
18278,,Point(-58.409444444 -33.945833333),,Uruguay River
18278,,Point(-51.455833333 -27.608333333),,Uruguay River
22066,298349,Point(-49.238888888 -22.880833333),3500550,Águas de Santa Bárbara
26271,,Point(-61.475372314 -3.682002887),,Purus River
26271,,Point(-61.4699 -3.693),,Purus River
28301,2185940,Point(-34.855 -8.008888888),2609600,Olinda
28441,332923,Point(-44.302777777 -2.53),2111300,São Luís
33944,242745,Point(-52.005 -28.97),4300703,Anta Gorda
33945,242323,Point(-53.181944444 -27.360833333),4300646,Ametista do Sul
33949,242642,Point(-51.282777777 -28.857777777),4300802,Antônio Prado
33953,242645,Point(-51.497777777 -30.915),4300851,Arambaré
33955,242564,Point(-52.252777777 -30.875),4300638,Amaral Ferrador
33958,242606,Point(-51.311944444 -29.391944444),4300570,Alto Feliz
33961,242480,Point(-52.3 -27.393888888),4300901,Aratiba
33964,242306,Point(-53.092777777 -29.332777777),4301206,Arroio do Tigre
34028,314866,Point(-43.6 -18.248888888),3121605,Diamantina
35135,334518,Point(-47.941944444 -18.17),5205109,Catalão
36332,,Point(-54.436666666 -25.695277777),,Iguaçu Falls
36947,362362,Point(-38.510833333 -12.970833333),2927408,Salvador
37266,,Point(-43.218 -19.236),,Bahia Falls
37268,,Point(-43.2569 -19.2861),,Chuvisco Falls
37378,301380,Point(-35.757777777 -6.827777777),2500908,Arara
37879,,Point(-38.195769444 -9.389088888),,Paulo Afonso Falls
38088,301464,Point(-36.825 -7.162777777),,Paraíba
38117,,Point(-43.242 -19.206),,Cristal Falls
39109,315173,Point(-43.95 -19.816666666),,Minas Gerais
39517,185579,Point(-52.734166666 -5.659444444),,Pará
40030,242620,Point(-53.16 -29.76),,Rio Grande do Sul
40040,332476,Point(-63.0 -5.0),,Amazonas
40123,302635,Point(-39.65 -5.08),,Ceará
40130,331463,Point(-51.811389 1.383889),,Amapá
40236,332493,Point(-60.016666666 -3.1),1302603,Manaus
40269,242397,Point(-51.23 -30.032777777),4314902,Porto Alegre
40430,362413,Point(-41.69 -12.52),,Bahia
40706,297938,Point(-47.154166666 -22.761111111),3536505,Paulínia
40780,326266,Point(-70.52 -9.11),,Acre
40780,326266,Point(-70.0 -9.0),,Acre
40885,303781,Point(-36.55 -9.57),,Alagoas
40942,303702,Point(-37.81 -8.34),,Pernambuco
41068,,Point(-46.656388888 -23.561388888),,Paulista Avenue
41115,296584,Point(-50.49 -27.27),,Santa Catarina
41428,,Point(-43.175556 -22.91),,Rio de Janeiro
41587,334443,Point(-50.14 -15.934444),,Goiás
42258,,Point(-46.635422 -23.5422),,Mirante do Vale
42362,332924,Point(-45.615 -6.184167),,Maranhão
42508,326287,Point(-61.4 2.05),,Roraima
42722,302819,Point(-43.1 -8.233333333),,Piauí
42800,368782,Point(-43.947777777 -19.891666666),3106200,Belo Horizonte
42824,333597,Point(-56.066666666 -15.566666666),,Mato Grosso
43233,54882,Point(-40.48 -19.71),,Espírito Santo
43235,325866,Point(-62.76 -10.9),,Rondônia
43255,301079,Point(-36.55 -5.74),,Rio Grande do Norte
43319,334051,Point(-54.645833333 -20.442777777),,Mato Grosso do Sul
43463,302588,Point(-38.588888888 -3.781388888),2304400,Fortaleza
43490,332463,Point(-61.3 -5.808888888),1302702,Manicoré
43695,336819,Point(-48.333333333 -10.183333333),,Tocantins
43783,303940,Point(-37.38 -10.59),,Sergipe
45242,,Point(-43.223889 -22.9675),,Rio de Janeiro Botanical Garden
45628,,Point(-41.608333333 -9.733333333),,Sobradinho Dam
47593,185567,Point(-48.503888888 -1.455833333),1501402,Belém
48344,303585,Point(-34.880833333 -8.053888888),2611606,Recife
49544,,Point(-53.5466 -11.9385),,Xingu River
49544,,Point(-51.93237 -3.46956),,Xingu River
49544,,Point(-51.8671 -1.5242),,Xingu River
54407,,Point(-47.9003 -15.7721),,1985 Brazilian Grand Prix
54422,,Point(-46.699722222 -23.703611111),,2000 Brazilian Grand Prix
54423,,Point(-46.699722222 -23.703611111),,2001 Brazilian Grand Prix
54424,,Point(-46.699722222 -23.703611111),,2002 Brazilian Grand Prix
54425,,Point(-46.699722222 -23.703611111),,2003 Brazilian Grand Prix
54426,,Point(-46.699722222 -23.703611111),,2004 Brazilian Grand Prix
54428,,Point(-46.6997 -23.7036),,2005 Brazilian Grand Prix
54429,,Point(-46.6997 -23.7036),,2006 Brazilian Grand Prix
54430,,Point(-46.6997 -23.7036),,2007 Brazilian Grand Prix
54431,,Point(-46.6997 -23.7036),,2008 Brazilian Grand Prix
63999,6447156,Point(-43.392405555 -22.975225),,Barra Velodrome
64136,,Point(-43.38800311 -22.97451486),,Maria Lenk Aquatic Center
73584,,Point(-67.366666666 -8.75),,Acre River
75274,,Point(-53.89373611 -29.89639167),,Santa Flora District
75276,,Point(-53.62718611 -29.817425),,Arroio do Só District
79859,,Point(-43.2301639 -22.9121667),,2014 FIFA World Cup
79961,,Point(-43.21083 -22.95166),,Christ the Redeemer
79961,,Point(-43.210583333 -22.952272222),,Christ the Redeemer
80004,314867,Point(-42.628888888 -19.518888888),3119401,Coronel Fabriciano
81882,298442,Point(-46.333888888 -23.960833333),3548500,Santos
81981,,Point(-47.128055555 -23.655666666),,CT Yakult
82312,,Point(-43.177894444 -22.900811111),,Candelária Church
82941,,Point(-46.655833333 -23.561111111),,São Paulo Museum of Art
83011,315325,Point(-40.52761 -17.78364),3144300,Nanuque
83011,315325,Point(-40.353888888 -17.838888888),3144300,Nanuque
83114,2220792,Point(-43.053888888 -22.826944444),3304904,São Gonçalo
83189,334547,Point(-49.253888888 -16.678888888),5208707,Goiânia
93572,,Point(-48.066944444 -16.019444444),,Gama
94153,,Point(-54.00584444 -29.67210278),,Boca do Monte District
94923,,Point(-49.23944444 -25.44277778),,Botanical Garden of Curitiba
109188,361756,Point(-52.342777777 -31.771944444),4314407,Pelotas
110017,242450,Point(-51.178888888 -29.167777777),4305108,Caxias do Sul
117526,,Point(-72.079522222 -9.7671),,Jurua River
117526,,Point(-65.756149 -2.635789),,Jurua River
117526,,Point(-65.754783333 -2.631811111),,Jurua River
117615,,Point(-64.755883333 -15.944758333),,Mamoré River
117615,,Point(-65.390281677 -10.382129145),,Mamoré River
117931,,Point(-53.676625 -29.6443),,Arroio Grande District
118251,241330,Point(-65.391682 -10.37605),,Madeira River
118251,241330,Point(-58.7731 -3.37556),,Madeira River
118771,,Point(-59.89566667 -3.12446111),,Rio Negro
118771,,Point(-59.895555555 -3.124444444),,Rio Negro
118771,,Point(-67.116388888 2.001388888),,Rio Negro
118899,,Point(-45.0 -22.46666667),,Brazilian Highlands
118899,,Point(-47.0 -18.0),,Brazilian Highlands
118945,314737,Point(-41.867777777 -20.433888888),3102050,Alto Caparaó
119140,242547,Point(-54.106944444 -31.330833333),4301602,Bagé
119158,421151,Point(-47.757777777 -15.795),,Federal District
120708,334452,Point(-48.625833333 -17.743888888),5204508,Caldas Novas
127172,,Point(-46.699192 -23.617078),,Sede do BankBoston
127892,421678,Point(-58.409306 -33.945889),,Paraná
127892,421678,Point(-58.409 -33.946),,Paraná
127892,421678,Point(-51.0006 -20.085),,Paraná
129663,,Point(-53.72038889 -29.88326944),,Passo do Verde District
131620,301091,Point(-35.208888888 -5.795),2408102,Natal
132997,296561,Point(-48.553047222 -27.593280555),4205407,Florianópolis
138500,334584,Point(-49.001944444 -16.713888888),5204557,Caldazinha
142148,,Point(-43.41797 -13.17577),,São Francisco River
142148,,Point(-36.394444444 -10.504166666),,São Francisco River
143064,,Point(-51.165 -23.282222),,Estádio do Café
154731,,Point(-53.86035833 -29.63033333),,Santo Antão District
154735,,Point(-53.58028889 -29.73141389),,Palma District
154736,,Point(-53.71485556 -29.75164167),,Pains District
155174,,Point(-43.230163888 -22.912166666),,Estádio do Maracanã
155557,296522,Point(-49.065833333 -26.918888888),4202404,Blumenau
156054,,Point(-49.166666666 -1.75),,Tocantins River
156054,,Point(-49.1762 -1.7287),,Tocantins River
156819,296650,Point(-48.845833333 -26.303888888),4209102,Joinville
157603,,Point(-56.5 -18.0),,Pantanal
159102,,Point(-38.520277777 -12.993611111),,Universidade Federal da Bahia
159106,,Point(-52.95 -10.65),,Centro Federal de Educação Tecnológica de Minas Gerais
165341,302749,Point(-42.8042 -5.0949),2211001,Teresina
165341,302749,Point(-42.80194 -5.08917),2211001,Teresina
166378,242666,Point(-52.895277777 -30.039444444),4303004,Cachoeira do Sul
166445,333636,Point(-56.622777777 -16.256944444),5106505,Poconé
167436,301405,Point(-34.833333333 -7.083333333),2507507,João Pessoa
168376,1825817,Point(-40.337777777 -20.318888888),3205309,Vitória
168888,303815,Point(-35.735 -9.665833333),2704302,Maceió
168929,334022,Point(-54.622222222 -20.468611111),5002704,Campo Grande
169159,,Point(-53.9499 -29.7553),,São Valentim District
169420,,Point(-46.633888888 -23.545833333),,Edifício Altino Arantes
170540,298039,Point(-45.55 -23.033333333),3554102,Taubaté
170578,303928,Point(-37.05 -10.9167),2800308,Aracaju
170610,,Point(-46.643611 -23.545417),,Edifício Itália
170762,333734,Point(-56.096944444 -15.595833333),5103403,Cuiabá
171387,,Point(-46.697222222 -23.701111111),,Autódromo José Carlos Pace
171437,,Point(-43.395 -22.975555555),,Autódromo Internacional Nelson Piquet
171612,326253,Point(-67.811666666 -9.978055555),1200401,Rio Branco
171617,298227,Point(-47.057294444 -22.900913888),3509502,Campinas
171840,,Point(-64.780833333 -3.165555555),,Japurá River
171840,,Point(-64.7808 -3.165561111),,Japurá River
171847,,Point(-53.0667 -17.9667),,Araguaia River
171847,,Point(-48.7189 -5.3761),,Araguaia River
171847,,Point(-48.7189 -5.376080555),,Araguaia River
172512,325855,Point(-63.903888888 -8.761944444),1100205,Porto Velho
173835,,Point(-47.90008333 -15.77613889),,Autódromo Internacional Nelson Piquet
173849,296626,Point(-48.627777777 -27.615),4216602,"São José, Santa Catarina"
174228,,Point(-41.7837525 -20.45017583),,Caparaó National Park
174286,242752,Point(-52.572777777 -28.498888888),4307054,"Ernestina, Rio Grande do Sul"
175057,303650,Point(-32.423786111 -3.853808333),2605459,Fernando de Noronha
176157,,Point(-38.427 -12.919),,Barradão
176891,298480,Point(-46.835833333 -23.522777777),3510609,Carapicuíba
177030,334422,Point(-49.968888888 -14.548888888),5206404,Crixás
177325,297585,Point(-50.93141 -24.57312),4121703,Reserva
177325,297585,Point(-50.850833333 -24.65),4121703,Reserva
177567,,Point(-60.03 -3.16),,Amazon rainforest
178667,368831,Point(-43.89 -19.626944444),3137601,Lagoa Santa
178667,368831,Point(-43.87993 -19.62683),3137601,Lagoa Santa
178725,2220789,Point(-43.103611111 -22.883333333),3303302,Niterói
178993,336798,Point(-48.360277777 -10.212777777),1721000,Palmas
179219,242410,Point(-51.250833333 -29.527777777),4318481,São José do Hortêncio
179396,,Point(-58.607254028 -27.290027966),,Paraguay River
179396,,Point(-58.6075 -27.288333333),,Paraguay River
179396,,Point(-56.73555556 -14.32),,Paraguay River
180192,333607,Point(-55.503888888 -11.863888888),5107909,Sinop
180215,331473,Point(-51.065311111 0.032958333),1600303,Macapá
180464,,Point(-49.17611 -25.53167),,Afonso Pena International Airport
180464,,Point(-49.175555555 -25.531111111),,Afonso Pena International Airport
181056,326286,Point(-60.671944444 2.82),1400100,Boa Vista
181544,,Point(-46.683333333 -24.483333333),,Ilha da Queimada Grande
181783,,Point(-50.140275 -15.934175),,Roman Catholic Diocese of Goiás
183444,,Point(-53.1848145 -11.23228633),,Xingu National Park
184403,297968,Point(-46.565 -23.693888888),3548708,São Bernardo do Campo
184409,298165,Point(-46.533333333 -23.466666666),3518800,Guarulhos
187160,242710,Point(-50.133888888 -29.985),4321600,Tramandaí
187817,,Point(-43.22216111 -22.98356111),,Leblon
188892,298156,Point(-47.806666666 -21.178333333),3543402,Ribeirão Preto
188897,2709115,Point(-43.450833333 -22.758888888),3303500,Nova Iguaçu
188901,298424,Point(-47.457777777 -23.501944444),3552205,Sorocaba
188905,314853,Point(-43.64191 -20.39304),3146107,Ouro Preto
188905,314853,Point(-43.503611111 -20.385277777),3146107,Ouro Preto
189043,2219094,Point(-43.178888888 -22.505),3303906,Petrópolis
191441,,Point(-34.926326 -8.078441),,Torre do Zeppelin
191635,,Point(-54.5917511 -25.59245864),,Iguazu River
191635,,Point(-54.435 -25.68),,Iguazu River
191635,,Point(-49.0031 -25.3917),,Iguazu River
191642,298019,Point(-45.886944444 -23.178888888),3549904,São José dos Campos
191652,298086,Point(-46.533333333 -23.657222222),3547809,Santo André
192146,2731077,Point(-46.631892 -23.566644),,Liberdade District
192181,298344,Point(-49.378888888 -20.82),3549805,São José do Rio Preto
192387,297756,Point(-51.162777777 -23.31),4113700,Londrina
193016,301462,Point(-35.881111111 -7.230555555),2504009,Campina Grande
193019,314769,Point(-43.35 -21.75),3136702,Juiz de Fora
193021,2220782,Point(-43.311944444 -22.785833333),3301702,Duque de Caxias
193264,,Point(-49.581667 -0.978611),,Marajó
193350,334603,Point(-49.217777777 -18.42),5211503,Itumbiara
194286,242739,Point(-53.058888888 -29.033888888),4310876,Jacuizinho
194325,242574,Point(-51.18 -29.92),4304606,Canoas
194328,314875,Point(-48.276944444 -18.918888888),3170206,Uberlândia
194332,298415,Point(-46.193055555 -23.522777777),3530607,Mogi das Cruzes
194338,297986,Point(-47.890833333 -22.017777777),3548906,São Carlos
194343,362294,Point(-38.966944444 -12.266944444),2910800,Feira de Santana
194357,242309,Point(-53.246944444 -28.357777777),4316709,Santa Bárbara do Sul
194362,242340,Point(-53.095 -28.741944444),4315354,Quinze de Novembro
194374,242352,Point(-53.915 -28.387777777),4310207,Ijuí
194389,242298,Point(-53.212777777 -29.087777777),4316451,Salto do Jacuí
194423,242414,Point(-53.09 -28.627777777),4310009,Ibirubá
194507,242614,Point(-54.121944444 -28.646944444),4311155,Jóia
195200,242627,Point(-53.095 -28.392777777),4316436,Saldanha Marinho
195943,,Point(-53.78766944 -29.69775833),,Sede District
200635,,Point(-44.85 -22.41666667),,Mantiqueira Mountains
201017,,Point(-47.61805556 -14.13361111),,Bona Espero
201220,,Point(-48.28 -17.300833333),,Pires do Rio
201720,,Point(-47.875555555 -15.798333333),,Cathedral of Brasília
202316,297473,Point(-54.587777777 -25.547777777),4108304,Foz do Iguaçu
202730,,Point(-43.180697222 -22.967033333),,Copacabana
203325,,Point(-43.16472222 -22.95527778),,Praia Vermelha
205516,,Point(-60.07944444 -3.12194444),,Phelippe Daou Bridge
205681,297564,Point(-53.455 -24.955833333),4104808,Cascavel
206105,297610,Point(-48.542777777 -25.817777777),4115705,Matinhos
208347,,Point(-61.4702 -19.1622),,Gran Chaco
208669,297521,Point(-51.938888888 -23.425),4115200,Maringá
208807,,Point(-60.7625 5.143333),,Guiana Shield
208807,,Point(-60.0 4.0),,Guiana Shield
210722,,Point(-43.15516 -22.94949),,Sugarloaf Mountain
212248,,Point(-46.658888888 -23.588333333),,Ibirapuera Park
213782,,Point(-67.9741 -3.135030555),,Putumayo River
213782,,Point(-67.9741 -3.135),,Putumayo River
219506,,Point(-49.3675 -28.684167),,Estádio Heriberto Hülse
223422,334463,Point(-48.952777777 -16.326944444),5201108,Anápolis
224101,,Point(-43.155669444 -22.790427777),,Guanabara Bay
224690,242528,Point(-51.177777777 -29.518888888),4315149,Presidente Lucena
224967,301304,Point(-37.941944444 -6.813888888),2513968,São Domingos
225060,,Point(-54.95 -2.51666667),,Alter do Chão
225897,,Point(-43.77855 -22.86915),,Roman Catholic Diocese of Itaguaí
226009,242356,Point(-51.87 -29.235833333),4306809,Encantado
241074,,Point(-33.816666666 -3.866666666),,Rocas Atoll
241357,,Point(-29.334444444 0.916944444),,Saint Peter and Saint Paul Archipelago
241478,,Point(-29.083333333 -20.516666666),,Trindade and Martim Vaz
241645,298315,Point(-49.060555555 -22.314722222),3506003,Bauru
241690,,Point(-58.755575 -11.4185),,Roman Catholic Diocese of Juína
242906,297796,Point(-50.161944444 -25.095),4119905,Ponta Grossa
244169,,Point(-54.59 -25.407777777),,Itaipu Binacional
244451,,Point(-54.883333333 -2.3),,Amazon basin
249680,,Point(-50.34305556 -19.85833333),,Água Vermelha Dam
