wdId,message
Q174,"ERROR, OSM-WdID of R 298204 is not same, returned Q175 for Q174."
Q220,"ERROR, OSM-WdID of R 41485 is not same, returned Q3940419 for Q220."
Q350,"ERROR, OSM-WdID of R 295355 is not same, returned Q21713103 for Q350."
Q406,"ERROR, OSM-WdID of R 223474 is not same, returned Q534799 for Q406."
Q458,"ERROR, OSM empty json for Q458."
Q546,"ERROR, OSM-WdID of R 79180 is not same, returned Q196480 for Q546."
Q614,"ERROR, OSM empty json for Q614."
Q1097,"ERROR, OSM empty json for Q1097."
Q1231,"ERROR, OSM (R 7081677) with no extratags/wikidata for Q1231."
Q1348,"ERROR, OSM empty json for Q1348."
Q1387,"ERROR, OSM empty json for Q1387."
Q1506,"ERROR, OSM empty json for Q1506."
Q1535,"ERROR, OSM empty json for Q1535."
Q1577,"ERROR, OSM-WdID of R 3788051 is not same, returned Q1622 for Q1577."
Q1663,"ERROR, OSM (R 2826807) with no extratags/wikidata for Q1663."
Q1707,"ERROR, OSM empty json for Q1707."
Q2108,"ERROR, OSM empty json for Q2108."
Q2706,"ERROR, OSM empty json for Q2706."
Q2843,"ERROR, OSM empty json for Q2843."
Q2844,"ERROR, OSM-WdID of R 2758138 is not same, returned Q3643852 for Q2844."
Q2868,"ERROR, OSM-WdID of R 1944756 is not same, returned Q3031413 for Q2868."
Q2909,"ERROR, OSM empty json for Q2909."
Q2917,"ERROR, OSM empty json for Q2917."
Q2937,"ERROR, OSM empty json for Q2937."
Q2941,"ERROR, OSM empty json for Q2941."
Q2944,"ERROR, OSM empty json for Q2944."
Q2947,"ERROR, OSM empty json for Q2947."
Q2965,"ERROR, OSM empty json for Q2965."
Q2967,"ERROR, OSM empty json for Q2967."
Q2969,"ERROR, OSM empty json for Q2969."
Q2970,"ERROR, OSM empty json for Q2970."
Q2975,"ERROR, OSM empty json for Q2975."
Q2976,"ERROR, OSM empty json for Q2976."
Q3006,"ERROR, OSM empty json for Q3006."
Q3011,"ERROR, OSM empty json for Q3011."
Q3114,"ERROR, OSM-WdID of R 5342034 is not same, returned Q4421073 for Q3114."
Q3130,"ERROR, OSM-WdID of R 5729534 is not same, returned Q1852577 for Q3130."
Q3369,"ERROR, OSM empty json for Q3369."
Q3392,"ERROR, OSM empty json for Q3392."
Q3492,"ERROR, OSM empty json for Q3492."
Q3616,"ERROR, OSM-WdID of R 537701 is not same, returned Q590866 for Q3616."
Q3630,"ERROR, OSM empty json for Q3630."
Q3757,"ERROR, OSM empty json for Q3757."
Q4065,"ERROR, OSM empty json for Q4065."
Q4174,"ERROR, OSM empty json for Q4174."
Q4258,"ERROR, OSM empty json for Q4258."
Q4376,"ERROR, OSM empty json for Q4376."
Q5499,"ERROR, OSM empty json for Q5499."
Q5595,"ERROR, OSM empty json for Q5595."
Q5832,"ERROR, OSM empty json for Q5832."
Q5897,"ERROR, OSM empty json for Q5897."
Q5906,"ERROR, OSM empty json for Q5906."
Q5948,"ERROR, OSM empty json for Q5948."
Q5990,"ERROR, OSM empty json for Q5990."
Q6596,"ERROR, OSM-WdID of R 79075 is not same, returned Q668916 for Q6596."
Q6606,"ERROR, OSM empty json for Q6606."
Q7347,"ERROR, OSM empty json for Q7347."
Q8187,"ERROR, OSM-WdID of R 2649819 is not same, returned Q20827827 for Q8187."
Q8220,"ERROR, OSM empty json for Q8220."
Q8226,"ERROR, OSM empty json for Q8226."
Q8324,"ERROR, OSM empty json for Q8324."
Q8326,"ERROR, OSM empty json for Q8326."
Q8515,"ERROR, OSM (R 1676476) with no extratags/wikidata for Q8515."
Q8678,"ERROR, OSM-WdID of R 57963 is not same, returned Q41428 for Q8678."
Q8696,"ERROR, OSM empty json for Q8696."
Q9006,"ERROR, OSM empty json for Q9006."
Q9010,"ERROR, OSM empty json for Q9010."
Q9011,"ERROR, OSM empty json for Q9011."
Q9013,"ERROR, OSM empty json for Q9013."
Q9015,"ERROR, OSM empty json for Q9015."
Q9016,"ERROR, OSM empty json for Q9016."
Q9018,"ERROR, OSM empty json for Q9018."
Q9020,"ERROR, OSM empty json for Q9020."
Q9023,"ERROR, OSM empty json for Q9023."
Q9025,"ERROR, OSM empty json for Q9025."
Q9026,"ERROR, OSM empty json for Q9026."
Q9029,"ERROR, OSM empty json for Q9029."
Q9030,"ERROR, OSM empty json for Q9030."
Q9032,"ERROR, OSM empty json for Q9032."
Q9033,"ERROR, OSM empty json for Q9033."
Q9037,"ERROR, OSM empty json for Q9037."
Q9040,"ERROR, OSM empty json for Q9040."
Q9042,"ERROR, OSM empty json for Q9042."
Q9179,"ERROR, OSM empty json for Q9179."
Q9193,"ERROR, OSM empty json for Q9193."
Q9197,"ERROR, OSM empty json for Q9197."
Q9310,"ERROR, OSM-WdID of R 4631022 is not same, returned Q860901 for Q9310."
Q9507,"ERROR, OSM empty json for Q9507."
Q9518,"ERROR, OSM empty json for Q9518."
Q9521,"ERROR, OSM empty json for Q9521."
Q9874,"ERROR, OSM empty json for Q9874."
Q9899,"ERROR, OSM-WdID of R 47811 is not same, returned Q727 for Q9899."
Q10018,"ERROR, OSM-WdID of R 414961 is not same, returned Q11731607 for Q10018."
Q10139,"ERROR, OSM empty json for Q10139."
Q10142,"ERROR, OSM empty json for Q10142."
Q10164,"ERROR, OSM empty json for Q10164."
Q10167,"ERROR, OSM empty json for Q10167."
Q10168,"ERROR, OSM empty json for Q10168."
Q10169,"ERROR, OSM empty json for Q10169."
Q10170,"ERROR, OSM empty json for Q10170."
Q10171,"ERROR, OSM empty json for Q10171."
Q10173,"ERROR, OSM empty json for Q10173."
Q10205,"ERROR, OSM-WdID of R 4374 is not same, returned Q21995372 for Q10205."
Q10255,"ERROR, OSM empty json for Q10255."
Q10257,"ERROR, OSM empty json for Q10257."
